iter_n,wall_s,plate_count,plates_pass_pnc,dE_mean,dE_p95,validators_passed,underlayer_match_pct,sheet_path,notes
01,120,20,0,20.621,49.0002,2,33.95,/home/reidsurmeier/cnc-carving-jobs/emma-overnight-iter-01/sheet_iter_01.png,profile=thorough m_prior=26 salvaged=set-u-fix
02,24,20,0,20.621,49.0002,2,33.95,/home/reidsurmeier/cnc-carving-jobs/emma-overnight-iter-02/sheet_iter_02.png,profile=thorough m_prior=26 plan_rc=0 sheet_rc=0 valid_rc=0
03,24,20,0,20.621,49.0002,2,33.95,/home/reidsurmeier/cnc-carving-jobs/emma-overnight-iter-03/sheet_iter_03.png,profile=thorough m_prior=28 plan_rc=0 sheet_rc=0 valid_rc=0
04,12,20,0,21.1241,47.8882,2,34.05,/home/reidsurmeier/cnc-carving-jobs/emma-overnight-iter-04/sheet_iter_04.png,profile=fast m_prior=26 plan_rc=0 sheet_rc=0 valid_rc=0
05,24,20,0,19.5691,44.0117,2,33.96,/home/reidsurmeier/cnc-carving-jobs/emma-overnight-iter-05/sheet_iter_05.png,profile=finer-cells m_prior=26 plan_rc=0 sheet_rc=0 valid_rc=0
06,29,26,0,20.6521,48.3458,2,34.34,/home/reidsurmeier/cnc-carving-jobs/emma-overnight-iter-06/sheet_iter_06.png,profile=more-plates m_prior=26 plan_rc=0 sheet_rc=0 valid_rc=0
07,31,28,0,19.4259,43.912,2,34.33,/home/reidsurmeier/cnc-carving-jobs/emma-overnight-iter-07/sheet_iter_07.png,profile=finer-more m_prior=26 plan_rc=0 sheet_rc=0 valid_rc=0
08,24,20,0,20.5528,49.657,2,33.93,/home/reidsurmeier/cnc-carving-jobs/emma-overnight-iter-08/sheet_iter_08.png,profile=deeper-inner m_prior=26 plan_rc=0 sheet_rc=0 valid_rc=0
09,42,20,0,20.7701,49.2619,2,34.44,/home/reidsurmeier/cnc-carving-jobs/emma-overnight-iter-09/sheet_iter_09.png,profile=bigger-canvas m_prior=26 plan_rc=0 sheet_rc=0 valid_rc=0
10,31,28,0,19.0529,40.5757,2,34.38,/home/reidsurmeier/cnc-carving-jobs/emma-overnight-iter-10/sheet_iter_10.png,profile=extreme-cells m_prior=26 plan_rc=0 sheet_rc=0 valid_rc=0
